Job Title,Company Name,Job Location,Skills Required,Date Posted
Sr. Business Analyst,egabi solutions ,"Sheraton, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Project Management · Business Analysis · Business · English · Software,2 months ago

Financial Analyst,B.TECH ,"Nasr City, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · analytical · Finance · Financial Analysis · Statistics · Commerce,1 month ago

System Analyst/Technical Writer,Tamweely ,"Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst · business · Computer Science · Project Management · System Analysis,1 month ago

Market Research Analyst,Maison de Maa ,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Analysis · E-Marketing · Market Research · Project Management · Research,2 months ago

WFM Real Time Analyst  German Speaker,Teleperformance  Egypt ,"Katameya, Cairo, Egypt",Full TimeOn-siteExperienced · 1 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · Customer Care · RTA · WFM · Workforce Management,14 days ago

Workforce Manager Real Time Analyst  Spanish and English speaker,Teleperformance  Egypt ,"Katameya, Cairo, Egypt",Full TimeOn-siteExperienced · 1+ Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · Customer Service · Customer Care · Spanish · English Teaching,2 days ago

Senior Financial Analyst,Etqan ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analyst · Financial Analysis · analytical · CFA · CPA · ERP · excel,2 days ago

Market Research Analyst,Confidential ,"Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · females_only · Marketing/PR/Advertising · Analyst/Research · Analysis · Market Research · Marketing · business · SAS · SPSS,4 days ago

Quality Assurance Analyst  English Speaker,Teleperformance  Egypt ,"New Cairo, Cairo, Egypt",Full TimeRemoteExperienced · 1 - 5 Yrs of Exp · Quality · Analyst/Research · QA · English · Quality Assurance · Customer Service · Customer Care · Customer Support,15 days ago

WFM  MIS Analyst (Contact Center Field),Giza Systems ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Analyst/Research · Analyst · MIS · Contact Center Management · Microsoft Excel · Reporting Analysis,16 days ago

QA Analyst  Spanish Speakers,Teleperformance  Egypt ,"New Cairo, Cairo, Egypt",Full TimeRemoteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · spanish,8 days ago

QA Analyst  Italian Speakers,Teleperformance  Egypt ,"New Cairo, Cairo, Egypt",Full TimeRemoteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · Italian,8 days ago

QA Analyst  German Speakers,Teleperformance  Egypt ,"New Cairo, Cairo, Egypt",Full TimeRemoteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · German,8 days ago

IT Analyst,Dora Management Solutions ,"Sheraton, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · IT · Information Technology (IT) · Computer Science · ERP · Analyst,17 days ago

QA Analyst  French Speakers,Teleperformance  Egypt ,"New Cairo, Cairo, Egypt",Full TimeRemoteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · French · QA · Quality Assurance,10 days ago

Risk & Compliance Analyst,InstaShop ,"Katameya, Cairo, Egypt",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Legal · Quality · Analyst/Research · Business Administration · Fraud · Compliance · Risk · Risk Management · Risk Assessment · Fraud Investigation,1 month ago

Senior Market Research Analyst,Adam Grain ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Business Development · Marketing/PR/Advertising · Analyst/Research · Analyst · Market Research · Research analyst · Marketing,25 days ago

Business Analyst,Confidential ,"Dokki, Giza, Egypt",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · business,18 days ago

Data Analyst,Helal Group ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data · Data Analyst · Data Analysis · Analysis · analytical · Analyst,2 months ago

Data Analyst,Cairo Three A Poultry ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Power BI · Tableau · Data Analysis · SQL,2 months ago

Senior Software Business Analyst / ERP,Our Education ,"Nasr City, Cairo, Egypt",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Management · Project Management · Software Development · Agile · business · Computer Science,2 days ago

Senior Business Analyst,CÆLUM Middle East ,"Zamalek, Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Analysis · analytical · Business Analysis · Computer Science · Information Technology (IT) · System Analysis · Engineering · Software · Data,2 months ago

Strategy Analyst,Transmar International  ,"New Cairo, Cairo, Egypt",Full TimeOn-siteEntry Level · 2 - 4 Yrs of Exp · Strategy/Consulting · Analyst · Analysis · Strategy,2 months ago

